id,symbol,timestamp,open,high,low,close,volume,trade_count,vwap,timeframe,data_source,created_at
1906,AAPL,2025-08-01 04:00:00.000000,210.62,213.34,201.27,202.15,104434473,1201399,204.44,Day,Alpaca,2025-08-15 16:54:21
1907,AAPL,2025-08-04 04:00:00.000000,204.27,207.64,201.44,203.12,75109298,785189,204.2,Day,Alpaca,2025-08-15 16:54:21
1908,AAPL,2025-08-05 04:00:00.000000,203.17,205.11,201.93,202.69,44155079,491748,203.38,Day,Alpaca,2025-08-15 16:54:21
1909,AAPL,2025-08-06 04:00:00.000000,205.39,215.13,205.35,213.01,108483103,1104103,212.46,Day,Alpaca,2025-08-15 16:54:21
1910,AAPL,2025-08-07 04:00:00.000000,218.62,220.6,216.33,219.78,90224834,1007838,219.05,Day,Alpaca,2025-08-15 16:54:21
1911,AAPL,2025-08-08 04:00:00.000000,220.58,230.74,219.0,229.09,113853967,1135405,227.0,Day,Alpaca,2025-08-15 16:54:21
1912,AAPL,2025-08-11 04:00:00.000000,227.92,229.56,224.76,227.18,61806132,692122,227.313985,Day,Alpaca,2025-08-15 16:54:21
1913,AAPL,2025-08-12 04:00:00.000000,228.005,230.8,227.07,229.65,55672301,561508,229.351117,Day,Alpaca,2025-08-15 16:54:21
1914,AAPL,2025-08-13 04:00:00.000000,231.07,235.0,230.43,233.33,69878546,740719,232.806434,Day,Alpaca,2025-08-15 16:54:21
1915,AAPL,2025-08-14 04:00:00.000000,234.055,235.12,230.85,232.78,51917397,558701,232.705813,Day,Alpaca,2025-08-15 16:54:21
