id,symbol,timestamp,open,high,low,close,volume,trade_count,vwap,timeframe,data_source,created_at
1,SPY,2018-01-02 05:00:00.000000,238.64,239.5,238.25,239.47,87974830,233353,239.01,Day,Alpaca,2025-08-14 22:37:15
2,SPY,2018-01-03 05:00:00.000000,239.64,241.13,239.64,240.98,92414326,233671,240.65,Day,Alpaca,2025-08-14 22:37:15
3,SPY,2018-01-04 05:00:00.000000,241.63,242.49,241.05,241.96,85277552,206549,242.08,Day,Alpaca,2025-08-14 22:37:15
4,SPY,2018-01-05 05:00:00.000000,242.8,243.74,242.3,243.59,88073906,208023,243.18,Day,Alpaca,2025-08-14 22:37:15
5,SPY,2018-01-08 05:00:00.000000,243.51,244.22,243.22,244.05,64945938,150232,243.93,Day,Alpaca,2025-08-14 22:37:15
6,SPY,2018-01-09 05:00:00.000000,244.48,245.24,244.2,244.6,58485720,186071,244.74,Day,Alpaca,2025-08-14 22:37:15
7,SPY,2018-01-10 05:00:00.000000,243.84,244.5,243.17,244.2,70699507,209103,244.01,Day,Alpaca,2025-08-14 22:37:15
8,SPY,2018-01-11 05:00:00.000000,244.8,246.02,244.63,245.99,64026406,188736,245.47,Day,Alpaca,2025-08-14 22:37:15
9,SPY,2018-01-12 05:00:00.000000,246.28,247.79,245.98,247.64,92919614,269708,247.27,Day,Alpaca,2025-08-14 22:37:15
10,SPY,2018-01-16 05:00:00.000000,248.9,249.55,246.07,246.85,110515722,342984,247.77,Day,Alpaca,2025-08-14 22:37:15
11,SPY,2018-01-17 05:00:00.000000,247.72,249.52,246.77,249.13,116747453,262690,248.55,Day,Alpaca,2025-08-14 22:37:15
12,SPY,2018-01-18 05:00:00.000000,249.01,249.44,248.21,248.74,105410481,247929,248.85,Day,Alpaca,2025-08-14 22:37:15
13,SPY,2018-01-19 05:00:00.000000,249.3,249.84,248.71,249.82,143550675,244046,249.38,Day,Alpaca,2025-08-14 22:37:15
14,SPY,2018-01-22 05:00:00.000000,249.63,251.87,249.57,251.85,102545061,218510,251.23,Day,Alpaca,2025-08-14 22:37:15
15,SPY,2018-01-23 05:00:00.000000,251.92,252.7,251.59,252.36,99464685,232558,252.29,Day,Alpaca,2025-08-14 22:37:15
16,SPY,2018-01-24 05:00:00.000000,253.06,253.66,251.11,252.25,136833465,357698,252.48,Day,Alpaca,2025-08-14 22:37:15
17,SPY,2018-01-25 05:00:00.000000,253.18,253.28,251.62,252.41,85877429,267776,252.45,Day,Alpaca,2025-08-14 22:37:15
18,SPY,2018-01-26 05:00:00.000000,253.26,255.38,253.0,255.32,111355443,266735,254.44,Day,Alpaca,2025-08-14 22:37:15
19,SPY,2018-01-29 05:00:00.000000,254.76,255.2,253.48,253.61,92693728,286696,254.27,Day,Alpaca,2025-08-14 22:37:15
20,SPY,2018-01-30 05:00:00.000000,251.79,253.69,250.56,250.93,134420733,427201,251.41,Day,Alpaca,2025-08-14 22:37:15
21,SPY,2018-01-31 05:00:00.000000,251.91,252.41,250.08,251.18,121930951,363005,251.24,Day,Alpaca,2025-08-14 22:37:15
22,SPY,2018-02-01 05:00:00.000000,250.43,252.2,250.08,250.97,90994293,304905,251.07,Day,Alpaca,2025-08-14 22:37:15
23,SPY,2018-02-02 05:00:00.000000,249.55,249.68,245.38,245.47,178406624,547730,247.11,Day,Alpaca,2025-08-14 22:37:15
24,SPY,2018-02-05 05:00:00.000000,243.64,245.78,234.6,235.32,304474048,1178555,240.49,Day,Alpaca,2025-08-14 22:37:15
25,SPY,2018-02-06 05:00:00.000000,231.6,240.3,230.5,239.73,357564910,1527394,236.1,Day,Alpaca,2025-08-14 22:37:15
26,SPY,2018-02-07 05:00:00.000000,239.23,242.67,238.41,238.49,169549624,741990,240.38,Day,Alpaca,2025-08-14 22:37:15
27,SPY,2018-02-08 05:00:00.000000,238.79,238.93,229.51,229.67,252221121,932886,234.04,Day,Alpaca,2025-08-14 22:37:15
28,SPY,2018-02-09 05:00:00.000000,232.37,234.87,225.35,233.2,286122968,1201103,230.23,Day,Alpaca,2025-08-14 22:37:15
29,SPY,2018-02-12 05:00:00.000000,235.07,237.9,233.14,236.39,146941527,609799,235.99,Day,Alpaca,2025-08-14 22:37:15
30,SPY,2018-02-13 05:00:00.000000,235.19,237.55,234.6,237.05,82434058,375376,236.26,Day,Alpaca,2025-08-14 22:37:15
31,SPY,2018-02-14 05:00:00.000000,235.49,240.56,235.49,240.27,123355652,528177,238.73,Day,Alpaca,2025-08-14 22:37:15
32,SPY,2018-02-15 05:00:00.000000,241.96,243.27,239.47,243.18,112606261,423209,241.82,Day,Alpaca,2025-08-14 22:37:15
33,SPY,2018-02-16 05:00:00.000000,242.63,245.3,242.59,243.38,163292191,424685,243.83,Day,Alpaca,2025-08-14 22:37:15
34,SPY,2018-02-20 05:00:00.000000,242.37,243.83,241.01,241.85,91166253,339886,242.4,Day,Alpaca,2025-08-14 22:37:15
35,SPY,2018-02-21 05:00:00.000000,242.26,244.77,240.51,240.54,100293719,392246,242.71,Day,Alpaca,2025-08-14 22:37:15
36,SPY,2018-02-22 05:00:00.000000,241.54,243.28,240.24,240.8,122557536,404225,241.47,Day,Alpaca,2025-08-14 22:37:15
37,SPY,2018-02-23 05:00:00.000000,242.16,244.76,241.68,244.71,96252415,321587,243.52,Day,Alpaca,2025-08-14 22:37:15
38,SPY,2018-02-26 05:00:00.000000,245.85,247.7,245.25,247.61,88758833,281795,246.8,Day,Alpaca,2025-08-14 22:37:15
39,SPY,2018-02-27 05:00:00.000000,247.79,248.51,244.45,244.47,102930024,364250,246.24,Day,Alpaca,2025-08-14 22:37:15
40,SPY,2018-02-28 05:00:00.000000,245.63,246.08,241.71,241.82,129776260,402198,243.77,Day,Alpaca,2025-08-14 22:37:15
41,SPY,2018-03-01 05:00:00.000000,241.82,243.39,237.0,238.53,179183801,620286,239.69,Day,Alpaca,2025-08-14 22:37:15
42,SPY,2018-03-02 05:00:00.000000,236.82,240.32,235.95,239.74,141448051,540088,238.2,Day,Alpaca,2025-08-14 22:37:15
43,SPY,2018-03-05 05:00:00.000000,238.54,243.14,238.44,242.45,99078649,356240,241.46,Day,Alpaca,2025-08-14 22:37:15
44,SPY,2018-03-06 05:00:00.000000,243.5,243.58,241.62,243.09,79922993,295499,242.76,Day,Alpaca,2025-08-14 22:37:15
45,SPY,2018-03-07 05:00:00.000000,240.94,243.4,240.74,243.09,88202658,318134,242.13,Day,Alpaca,2025-08-14 22:37:15
46,SPY,2018-03-08 05:00:00.000000,243.73,244.34,242.72,244.16,69768764,259824,243.64,Day,Alpaca,2025-08-14 22:37:15
47,SPY,2018-03-09 05:00:00.000000,245.64,248.47,245.32,248.37,117331321,334455,247.39,Day,Alpaca,2025-08-14 22:37:15
